"ID","Tanggal","Judul","Kategori","Brand","Format","Status","Platform","Catatan","Hook AI","Caption Draft","Hastags","Link Referensi","Link Post Asli","Reach","Tayangan","Likes","Comments","Saves","Shares","Total Interaks","ER %","Tipe Iklan","Biaya Iklan","Goal","Goal Desc","Column 1","Column 28","Column 29","Column 30","Column 31","Column 32"
"","2026-03-28","Behind The Scene Pengukuran GPS RTK CHCNAV i76","Education","CHCNAV","Video / Reels","Planned","Instagram, TikTok","Gunakan latar belakang proyek tambang/konstruksi nyata.","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jan-1","2026-01-01","Tahun Baru 2026","Holiday","GIM","Feed / Post","Completed","Instagram","Greeting Hari Libur Nasional","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jan-4","2026-01-04","Feed Education - LiDAR Tech","Education","LiDAR","Feed / Post","Completed","","Pengenalan teknologi LiDAR survei","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-01-08","Feed GIM Learning - about us - tagline - services","Education","GIM Learning","Feed / Post","Completed","Instagram","Pengenalan program edukasi dan layanan GIM","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-01-08","Feed GIM Learning - porto","Education","GIM Learning","Feed / Post","Completed","Instagram","Portofolio pelatihan GIM","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jan-9","2026-01-09","Feed Jadwal & Flyer Pelatihan Jan-Feb","Webinar","GIM Learning","Feed / Post","Completed","Instagram","Jadwal pelatihan pemetaan dan survei","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-01-13","Vid Promo - training & product L3","Promo","AlphaGeo L300","Video / Reels","Completed","Instagram","Video promosi produk L3 & training","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-01-13","Vid Promo - training & product L3 versi 2","Promo","AlphaGeo L300","Video / Reels","Completed","","Variasi video promosi L3","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jan-16","2026-01-16","Isra' Miraj","Holiday","GIM","Feed / Post","Completed","Instagram","Greeting Hari Besar Islam","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jan-19","2026-01-19","Vid Recap BPPTKG versi 1","Event","GIM","Video / Reels","Completed","","Recap kegiatan kunjungan/kerjasama BPPTKG","","","","","","","","","","","","0.00","0","","","","","","","","","",""
