"No","Tanggal Post","TIpe","Jenis Konten","Tema/Topik","Link","Account reach","Interaksi","Interaksi Tayangan","Likes","Komentar","Saves","Shares","AKtivitas Profil View Profile","Follow","Clicks link","Click alamat","Engagement Rate ()","Cost","","ADS Performance  Tanggal ","Cost ","Tayangan ","Durasi (hari) ","Hasil Interaksi ","Interaksi ","CAC","","CONVERSION  Jumlah Peserta","Peserta (iklan)","","","","","No","Tanggal","Jenis Konten","Account Reach","Views","Likes","","","","","","","",""
"1","10/03/2025","Random ","Foto","Rebranding Logo","https://www.instagram.com/p/DHArqAeBxAa/","873","","1,319","30","0","0","7","","","","","4.24","","","","","","","","","","","","","","","","","1","06/04/2025","Merapi Uncover","19019","20186","4","","","Tanggal","","","","",""
"2","10/03/2025","Annoucement","Foto","Open Internship","https://www.instagram.com/p/DHAtfCwBN9B/","813","","1,174","37","0","8","10","","","","","6.30","","","","","","","","","","","","","","","","","2","10/04/2025","Saluran Whatsapp","854","1114","0","","1","10-16 Maret 2025","1152","15","20","5","1167"
"3","15/03/2025","Activity ","Reels","GIM in Action","https://www.instagram.com/p/DHNyf9myNAO/","1,969","","2,861","32","0","3","1","","","6","","4.43","53574 of 164790","","","Rp53,574","","","","","","","","","","","","","3","11/04/2025","BTS produk","272","293","2","","2","17-23 Maret 2025","1167","27","36","9","1194"
"4","17/03/2025","Activity ","Carousel","GIM in Action","https://www.instagram.com/p/DHSj-NbBFJM/?img_index=1","2,749","","4,640","46","2","1","2","","","18","","2.59","80451 of 91324","","","","","","","","","","","","","","","","4","14/04/2025","SAR","212","229","2","","3","24-30 Maret 2025","1194","8","13","5","1202"
"5","","Edu","Carousel","GIM Insight","https://www.instagram.com/p/DHX5Ajwzh5K/?img_index=1","2,003","","3,235","77","2","4","2","","","20","","3.09","36118 of 41511","","","","","","","","","","","","","","","","5","15/04/2025","CHCNAV Indonav launch","504","551","6","","4","31 Maret- 6 April 2025","1202","3","13","10","1205"
"","25/03/2025","Promo","Foto","DJI Authorized Dealer","https://www.instagram.com/p/DHnTtgPBXGY/","495","","773","14","0","2","1","","","","","","","","","","","","","","","","","","","","","","6","19/04/2025","BTS Indonav","378","441","3","","5","7-13 April 2025","1205","39","47","8","1244"
"6","27/03/2025","","Foto Promo","Promos DJI Enterprise","https://www.instagram.com/p/DHslxvCBw-n/","403","","666","13","0","1","1","","","","","0.75","","","","","","","","","","","","","","","","","7","","","","","","","6","14-20 April 2025","1244","228","234","6","1472"
"7","","","Lebaran","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","7","","","","","",""
"8","08/04/2025","","Foto","Promo Apache Product","","4315","","6028","36","0","1","4","","","23","","","82473 of 84664","","","","","","","","","","","","","","","","9","","","","","","","8","","","","","",""
"9","10/04/2025","","Foto","Rebranding Nama GIM Surveyor","","459","","716","14","0","0","1","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","9","","","","","",""
"10","11/04/2025","","Foto","Pengenalan GIM Learning CLub","","797","","1307","39","5","1","6","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","10","","","","","",""
"11","14/04/2025","","Carousel","GIM Insight","","555","","1025","27","0","6","0","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","11","","","","","",""
"12","14/04/2025","Training ","Foto","Training Orthoimage ","","8496","","14763","101","3","45","50","216","67","14","6","","","","","Rp33,777","2202","1","3","Click link web ","Rp11,259","","364","","","","","","13","","","","","","","12","","","","","",""
"13","15/04/2025","","Carousel","GIM Insight","","668","","1221","58","2","16","5","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","13","","","","","",""
"14","16/04/2025","","Foto Promo","CHCNAV i76","","699","","1058","15","0","1","3","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","14","","","","","",""
"15","17/04/2025","","Carousel","GIM Insight","","672","","1257","48","0","11","2","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","15","","","","","",""
"16","18/04/2025","","Foto","Jumat Agung","","527","","724","6","0","0","0","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","16","","","","","",""
"17","18/04/2025","","Foto Promo","CHCNAV iBase","","840","","1308","20","0","1","4","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","17","","","","","",""
